subdistrict_code,postal_code,sub_district_th,district_th,province_th,sub_district_en,district_en,province_en
100101,10200,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,Phra Borom Maha Ratchawang,Phra Nakhon,Bangkok
100102,10200,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,Wang Burapha Phirom,Phra Nakhon,Bangkok
100103,10200,วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,Wat Ratchabophit,Phra Nakhon,Bangkok
100104,10200,สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,Samran Rat,Phra Nakhon,Bangkok
100105,10200,ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,San Chaopho Suea,Phra Nakhon,Bangkok
100106,10200,เสาชิงช้า,พระนคร,กรุงเทพมหานคร,Sao Chingcha,Phra Nakhon,Bangkok
100107,10200,บวรนิเวศ,พระนคร,กรุงเทพมหานคร,Bowon Niwet,Phra Nakhon,Bangkok
100108,10200,ตลาดยอด,พระนคร,กรุงเทพมหานคร,Talat Yot,Phra Nakhon,Bangkok
100109,10200,ชนะสงคราม,พระนคร,กรุงเทพมหานคร,Chana Songkhram,Phra Nakhon,Bangkok
100110,10200,บ้านพานถม,พระนคร,กรุงเทพมหานคร,Ban Phan Thom,Phra Nakhon,Bangkok
100111,10200,บางขุนพรหม,พระนคร,กรุงเทพมหานคร,Bang Khun Phrom,Phra Nakhon,Bangkok
100112,10200,วัดสามพระยา,พระนคร,กรุงเทพมหานคร,Wat Sam Phraya,Phra Nakhon,Bangkok
100201,10300,ดุสิต,ดุสิต,กรุงเทพมหานคร,Dusit,Dusit,Bangkok
100202,10300,วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,Wachira Phayaban,Dusit,Bangkok
100203,10300,สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,Suan Chit Lada,Dusit,Bangkok
100204,10300,สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,Si Yaek Maha Nak,Dusit,Bangkok
100206,10300,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,Thanon Nakhon Chai Si,Dusit,Bangkok
100301,10530,กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,Krathum Rai,Nong Chok,Bangkok
100302,10530,หนองจอก,หนองจอก,กรุงเทพมหานคร,Nong Chok,Nong Chok,Bangkok
100303,10530,คลองสิบ,หนองจอก,กรุงเทพมหานคร,Khlong Sip,Nong Chok,Bangkok
100304,10530,คลองสิบสอง,หนองจอก,กรุงเทพมหานคร,Khlong Sip Song,Nong Chok,Bangkok
100305,10530,โคกแฝด,หนองจอก,กรุงเทพมหานคร,Khok Faet,Nong Chok,Bangkok
100306,10530,คู้ฝั่งเหนือ,หนองจอก,กรุงเทพมหานคร,Khu Fang Nuea,Nong Chok,Bangkok
100307,10530,ลำผักชี,หนองจอก,กรุงเทพมหานคร,Lam Phak Chi,Nong Chok,Bangkok
100308,10530,ลำต้อยติ่ง,หนองจอก,กรุงเทพมหานคร,Lam Toiting,Nong Chok,Bangkok
100401,10500,มหาพฤฒาราม,บางรัก,กรุงเทพมหานคร,Maha Phruettharam,Bang Rak,Bangkok
100402,10500,สีลม,บางรัก,กรุงเทพมหานคร,Si Lom,Bang Rak,Bangkok
100403,10500,สุริยวงศ์,บางรัก,กรุงเทพมหานคร,Suriyawong,Bang Rak,Bangkok
100404,10500,บางรัก,บางรัก,กรุงเทพมหานคร,Bang Rak,Bang Rak,Bangkok
100405,10500,สี่พระยา,บางรัก,กรุงเทพมหานคร,Si Phraya,Bang Rak,Bangkok
100502,10220,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,Anusawari,Bang Khen,Bangkok
100508,10220,ท่าแร้ง,บางเขน,กรุงเทพมหานคร,Tha Raeng,Bang Khen,Bangkok
100601,10240,คลองจั่น,บางกะปิ,กรุงเทพมหานคร,Khlong Chan,Bang Kapi,Bangkok
100608,10240,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,Hua Mak,Bang Kapi,Bangkok
100701,10330,รองเมือง,ปทุมวัน,กรุงเทพมหานคร,Rong Mueang,Pathum Wan,Bangkok
100702,10330,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,Wang Mai,Pathum Wan,Bangkok
100703,10330,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,Pathum Wan,Pathum Wan,Bangkok
100704,10330,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,Lumphini,Pathum Wan,Bangkok
100801,10100,ป้อมปราบ,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Pom Prap,Pom Prap Sattruphai,Bangkok
100802,10100,วัดเทพศิรินทร์,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Wat Thep Sirin,Pom Prap Sattruphai,Bangkok
100803,10100,คลองมหานาค,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Khlong Maha Nak,Pom Prap Sattruphai,Bangkok
100804,10100,บ้านบาตร,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Ban Bat,Pom Prap Sattruphai,Bangkok
100805,10100,วัดโสมนัส,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Wat Sommanat,Pom Prap Sattruphai,Bangkok
100905,10260,บางจาก,พระโขนง,กรุงเทพมหานคร,Bang Chak,Phra Khanong,Bangkok
100910,10260,พระโขนงใต้,พระโขนง,กรุงเทพมหานคร,Phra Khanong Tai,Phra Khanong,Bangkok
101001,10510,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,Min Buri,Min Buri,Bangkok
101002,10510,แสนแสบ,มีนบุรี,กรุงเทพมหานคร,Saen Saep,Min Buri,Bangkok
101101,10520,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,Lat Krabang,Lat Krabang,Bangkok
101102,10520,คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,Khlong Song Ton Nun,Lat Krabang,Bangkok
101103,10520,คลองสามประเวศ,ลาดกระบัง,กรุงเทพมหานคร,Khlong Sam Prawet,Lat Krabang,Bangkok
101104,10520,ลำปลาทิว,ลาดกระบัง,กรุงเทพมหานคร,Lam Pla Thio,Lat Krabang,Bangkok
101105,10520,ทับยาว,ลาดกระบัง,กรุงเทพมหานคร,Thap Yao,Lat Krabang,Bangkok
101106,10520,ขุมทอง,ลาดกระบัง,กรุงเทพมหานคร,Khum Thong,Lat Krabang,Bangkok
101203,10120,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,Chong Nonsi,Yannawa,Bangkok
101204,10120,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,Bang Phongphang,Yannawa,Bangkok
101301,10100,จักรวรรดิ,สัมพันธวงศ์,กรุงเทพมหานคร,Chakkrawat,Samphanthawong,Bangkok
101302,10100,สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,Samphanthawong,Samphanthawong,Bangkok
101303,10100,ตลาดน้อย,สัมพันธวงศ์,กรุงเทพมหานคร,Talat Noi,Samphanthawong,Bangkok
101401,10400,สามเสนใน,พญาไท,กรุงเทพมหานคร,Sam Sen Nai,Phaya Thai,Bangkok
101406,10400,พญาไท,พญาไท,กรุงเทพมหานคร,Phaya Thai,Phaya Thai,Bangkok
101501,10600,วัดกัลยาณ์,ธนบุรี,กรุงเทพมหานคร,Wat Kanlaya,Thon Buri,Bangkok
101502,10600,หิรัญรูจี,ธนบุรี,กรุงเทพมหานคร,Hiran Ruchi,Thon Buri,Bangkok
101503,10600,บางยี่เรือ,ธนบุรี,กรุงเทพมหานคร,Bang Yi Ruea,Thon Buri,Bangkok
101504,10600,บุคคโล,ธนบุรี,กรุงเทพมหานคร,Bukkhalo,Thon Buri,Bangkok
101505,10600,ตลาดพลู,ธนบุรี,กรุงเทพมหานคร,Talat Phlu,Thon Buri,Bangkok
101506,10600,ดาวคะนอง,ธนบุรี,กรุงเทพมหานคร,Dao Khanong,Thon Buri,Bangkok
101507,10600,สำเหร่,ธนบุรี,กรุงเทพมหานคร,Samre,Thon Buri,Bangkok
101601,10600,วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,Wat Arun,Bangkok Yai,Bangkok
101602,10600,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,Wat Tha Phra,Bangkok Yai,Bangkok
101701,10310,ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,Huai Khwang,Huai Khwang,Bangkok
101702,10310,บางกะปิ,ห้วยขวาง,กรุงเทพมหานคร,Bang Kapi,Huai Khwang,Bangkok
101704,10310,สามเสนนอก,ห้วยขวาง,กรุงเทพมหานคร,Sam Sen Nok,Huai Khwang,Bangkok
101801,10600,สมเด็จเจ้าพระยา,คลองสาน,กรุงเทพมหานคร,Somdet Chao Phraya,Khlong San,Bangkok
101802,10600,คลองสาน,คลองสาน,กรุงเทพมหานคร,Khlong San,Khlong San,Bangkok
101803,10600,บางลำภูล่าง,คลองสาน,กรุงเทพมหานคร,Bang Lamphu Lang,Khlong San,Bangkok
101804,10600,คลองต้นไทร,คลองสาน,กรุงเทพมหานคร,Khlong Ton Sai,Khlong San,Bangkok
101901,10170,คลองชักพระ,ตลิ่งชัน,กรุงเทพมหานคร,Khlong Chak Phra,Taling Chan,Bangkok
101902,10170,ตลิ่งชัน,ตลิ่งชัน,กรุงเทพมหานคร,Taling Chan,Taling Chan,Bangkok
101903,10170,ฉิมพลี,ตลิ่งชัน,กรุงเทพมหานคร,Chimphli,Taling Chan,Bangkok
101904,10170,บางพรม,ตลิ่งชัน,กรุงเทพมหานคร,Bang Phrom,Taling Chan,Bangkok
101905,10170,บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,Bang Ramat,Taling Chan,Bangkok
101907,10170,บางเชือกหนัง,ตลิ่งชัน,กรุงเทพมหานคร,Bang Chueak Nang,Taling Chan,Bangkok
102004,10700,ศิริราช,บางกอกน้อย,กรุงเทพมหานคร,Sirirat,Bangkok Noi,Bangkok
102005,10700,บ้านช่างหล่อ,บางกอกน้อย,กรุงเทพมหานคร,Ban Chang Lo,Bangkok Noi,Bangkok
102006,10700,บางขุนนนท์,บางกอกน้อย,กรุงเทพมหานคร,Bang Khun Non,Bangkok Noi,Bangkok
102007,10700,บางขุนศรี,บางกอกน้อย,กรุงเทพมหานคร,Bang Khun Si,Bangkok Noi,Bangkok
102009,10700,อรุณอมรินทร์,บางกอกน้อย,กรุงเทพมหานคร,Arun Ammarin,Bangkok Noi,Bangkok
102105,10150,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,Tha Kham,Bang Khun Thian,Bangkok
102107,10150,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,Samae Dam,Bang Khun Thian,Bangkok
102201,10160,บางหว้า,ภาษีเจริญ,กรุงเทพมหานคร,Bang Wa,Phasi Charoen,Bangkok
102202,10160,บางด้วน,ภาษีเจริญ,กรุงเทพมหานคร,Bang Duan,Phasi Charoen,Bangkok
102206,10160,บางจาก,ภาษีเจริญ,กรุงเทพมหานคร,Bang Chak,Phasi Charoen,Bangkok
102207,10160,บางแวก,ภาษีเจริญ,กรุงเทพมหานคร,Bang Waek,Phasi Charoen,Bangkok
102208,10160,คลองขวาง,ภาษีเจริญ,กรุงเทพมหานคร,Khlong Khwang,Phasi Charoen,Bangkok
102209,10160,ปากคลองภาษีเจริญ,ภาษีเจริญ,กรุงเทพมหานคร,Pak Khlong Phasi Charoen,Phasi Charoen,Bangkok
102210,10160,คูหาสวรรค์,ภาษีเจริญ,กรุงเทพมหานคร,Khuha Sawan,Phasi Charoen,Bangkok
102302,10160,หนองแขม,หนองแขม,กรุงเทพมหานคร,Nong Khaem,Nong Khaem,Bangkok
102303,10160,หนองค้างพลู,หนองแขม,กรุงเทพมหานคร,Nong Khang Phlu,Nong Khaem,Bangkok
102401,10140,ราษฎร์บูรณะ,ราษฎร์บูรณะ,กรุงเทพมหานคร,Rat Burana,Rat Burana,Bangkok
102402,10140,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,Bang Pa Kok,Rat Burana,Bangkok
102501,10700,บางพลัด,บางพลัด,กรุงเทพมหานคร,Bang Phlat,Bang Phlat,Bangkok
102502,10700,บางอ้อ,บางพลัด,กรุงเทพมหานคร,Bang O,Bang Phlat,Bangkok
102503,10700,บางบำหรุ,บางพลัด,กรุงเทพมหานคร,Bang Bamru,Bang Phlat,Bangkok
102504,10700,บางยี่ขัน,บางพลัด,กรุงเทพมหานคร,Bang Yi Khan,Bang Phlat,Bangkok
102601,10400,ดินแดง,ดินแดง,กรุงเทพมหานคร,Din Daeng,Din Daeng,Bangkok
102602,10400,รัชดาภิเษก,ดินแดง,กรุงเทพมหานคร,Ratchadaphisek,Din Daeng,Bangkok
102701,10240,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,Khlong Kum,Bung Kum,Bangkok
102704,10240,นวมินทร์,บึงกุ่ม,กรุงเทพมหานคร,Nawamin,Bung Kum,Bangkok
102705,10240,นวลจันทร์,บึงกุ่ม,กรุงเทพมหานคร,Nuan Chan,Bung Kum,Bangkok
102801,10120,ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,Thung Wat Don,Sathon,Bangkok
102802,10120,ยานนาวา,สาทร,กรุงเทพมหานคร,Yan Nawa,Sathon,Bangkok
102803,10120,ทุ่งมหาเมฆ,สาทร,กรุงเทพมหานคร,Thung Maha Mek,Sathon,Bangkok
102901,10800,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,Bang Sue,Bang Su,Bangkok
102902,10800,วงศ์สว่าง,บางซื่อ,กรุงเทพมหานคร,Wong Sawang,Bang Su,Bangkok
103001,10900,ลาดยาว,จตุจักร,กรุงเทพมหานคร,Lat Yao,Chatuchak,Bangkok
103002,10900,เสนานิคม,จตุจักร,กรุงเทพมหานคร,Sena Nikhom,Chatuchak,Bangkok
103003,10900,จันทรเกษม,จตุจักร,กรุงเทพมหานคร,Chan Kasem,Chatuchak,Bangkok
103004,10900,จอมพล,จตุจักร,กรุงเทพมหานคร,Chom Phon,Chatuchak,Bangkok
103005,10900,จตุจักร,จตุจักร,กรุงเทพมหานคร,Chatuchak,Chatuchak,Bangkok
103101,10120,บางคอแหลม,บางคอแหลม,กรุงเทพมหานคร,Bang Kho Laem,Bang Kho Laem,Bangkok
103102,10120,วัดพระยาไกร,บางคอแหลม,กรุงเทพมหานคร,Wat Phraya Krai,Bang Kho Laem,Bangkok
103103,10120,บางโคล่,บางคอแหลม,กรุงเทพมหานคร,Bang Khlo,Bang Kho Laem,Bangkok
103201,10250,ประเวศ,ประเวศ,กรุงเทพมหานคร,Prawet,Prawet,Bangkok
103202,10250,หนองบอน,ประเวศ,กรุงเทพมหานคร,Nong Bon,Prawet,Bangkok
103203,10250,ดอกไม้,ประเวศ,กรุงเทพมหานคร,Dok Mai,Prawet,Bangkok
103301,10110,คลองเตย,คลองเตย,กรุงเทพมหานคร,Khlong Toei,Khlong Toei,Bangkok
103302,10110,คลองตัน,คลองเตย,กรุงเทพมหานคร,Khlong Tan,Khlong Toei,Bangkok
103303,10110,พระโขนง,คลองเตย,กรุงเทพมหานคร,Phra Khanong,Khlong Toei,Bangkok
103401,10250,สวนหลวง,สวนหลวง,กรุงเทพมหานคร,Suan Luang,Suan Luang,Bangkok
103402,10250,อ่อนนุช,สวนหลวง,กรุงเทพมหานคร,On Nut,Suan Luang,Bangkok
103403,10250,พัฒนาการ,สวนหลวง,กรุงเทพมหานคร,Phatthanakan,Suan Luang,Bangkok
103501,10150,บางขุนเทียน,จอมทอง,กรุงเทพมหานคร,Bang Khun Thian,Chom Thong,Bangkok
103502,10150,บางค้อ,จอมทอง,กรุงเทพมหานคร,Bang Kho,Chom Thong,Bangkok
103503,10150,บางมด,จอมทอง,กรุงเทพมหานคร,Bang Mot,Chom Thong,Bangkok
103504,10150,จอมทอง,จอมทอง,กรุงเทพมหานคร,Chom Thong,Chom Thong,Bangkok
103602,10210,สีกัน,ดอนเมือง,กรุงเทพมหานคร,Si Kan,Don Mueang,Bangkok
103604,10210,ดอนเมือง,ดอนเมือง,กรุงเทพมหานคร,Don Mueang,Don Mueang,Bangkok
103605,10210,สนามบิน,ดอนเมือง,กรุงเทพมหานคร,Sanambin,Don Mueang,Bangkok
103701,10400,ทุ่งพญาไท,ราชเทวี,กรุงเทพมหานคร,Thung Phaya Thai,Rat Thewi,Bangkok
103702,10400,ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,Thanon Phaya Thai,Rat Thewi,Bangkok
103703,10400,ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,Thanon Phetchaburi,Rat Thewi,Bangkok
103704,10400,มักกะสัน,ราชเทวี,กรุงเทพมหานคร,Makkasan,Rat Thewi,Bangkok
103801,10230,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,Lat Phrao,Lat Phrao,Bangkok
103802,10230,จรเข้บัว,ลาดพร้าว,กรุงเทพมหานคร,Chorakhe Bua,Lat Phrao,Bangkok
103901,10110,คลองเตยเหนือ,วัฒนา,กรุงเทพมหานคร,Khlong Toei Nuea,Watthana,Bangkok
103902,10110,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,Khlong Tan Nuea,Watthana,Bangkok
103903,10110,พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,Phra Khanong Nuea,Watthana,Bangkok
104001,10160,บางแค,บางแค,กรุงเทพมหานคร,Bang Khae,Bang Khae,Bangkok
104002,10160,บางแคเหนือ,บางแค,กรุงเทพมหานคร,Bang Khae Nuea,Bang Khae,Bangkok
104003,10160,บางไผ่,บางแค,กรุงเทพมหานคร,Bang Phai,Bang Khae,Bangkok
104004,10160,หลักสอง,บางแค,กรุงเทพมหานคร,Lak Song,Bang Khae,Bangkok
104101,10210,ทุ่งสองห้อง,หลักสี่,กรุงเทพมหานคร,Thung Song Hong,Lak Si,Bangkok
104102,10210,ตลาดบางเขน,หลักสี่,กรุงเทพมหานคร,Talat Bang Khen,Lak Si,Bangkok
104201,10220,สายไหม,สายไหม,กรุงเทพมหานคร,Sai Mai,Sai Mai,Bangkok
104202,10220,ออเงิน,สายไหม,กรุงเทพมหานคร,O Ngoen,Sai Mai,Bangkok
104203,10220,คลองถนน,สายไหม,กรุงเทพมหานคร,Khlong Thanon,Sai Mai,Bangkok
104301,10230,คันนายาว,คันนายาว,กรุงเทพมหานคร,Khan Na Yao,Khanna Yao,Bangkok
104302,10230,รามอินทรา,คันนายาว,กรุงเทพมหานคร,Ram Inthra,Khanna Yao,Bangkok
104401,10240,สะพานสูง,สะพานสูง,กรุงเทพมหานคร,Saphan Sung,Saphan Sung,Bangkok
104402,10240,ราษฎร์พัฒนา,สะพานสูง,กรุงเทพมหานคร,Rat Phatthana,Saphan Sung,Bangkok
104403,10250,ทับช้าง,สะพานสูง,กรุงเทพมหานคร,Thap Chang,Saphan Sung,Bangkok
104501,10310,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,Wang Thonglang,Wang Thong Lang,Bangkok
104502,10310,สะพานสอง,วังทองหลาง,กรุงเทพมหานคร,Saphan Song,Wang Thong Lang,Bangkok
104503,10310,คลองเจ้าคุณสิงห์,วังทองหลาง,กรุงเทพมหานคร,Khlong Chaokhun Sing,Wang Thong Lang,Bangkok
104504,10310,พลับพลา,วังทองหลาง,กรุงเทพมหานคร,Phlapphla,Wang Thong Lang,Bangkok
104601,10510,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,Sam Wa Tawan Tok,Khlong Sam Wa,Bangkok
104602,10510,สามวาตะวันออก,คลองสามวา,กรุงเทพมหานคร,Sam Wa Tawan Ok,Khlong Sam Wa,Bangkok
104603,10510,บางชัน,คลองสามวา,กรุงเทพมหานคร,Bang Chan,Khlong Sam Wa,Bangkok
104604,10510,ทรายกองดิน,คลองสามวา,กรุงเทพมหานคร,Sai Kong Din,Khlong Sam Wa,Bangkok
104605,10510,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,Sai Kong Din Tai,Khlong Sam Wa,Bangkok
104702,10260,บางนาเหนือ,บางนา,กรุงเทพมหานคร,Bang Na Nuea,Bang Na,Bangkok
104703,10260,บางนาใต้,บางนา,กรุงเทพมหานคร,Bang Na Tai,Bang Na,Bangkok
104801,10170,ทวีวัฒนา,ทวีวัฒนา,กรุงเทพมหานคร,Thawi Watthana ,Thawi Watthana,Bangkok
104802,10170,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,Sala Thammasop,Thawi Watthana,Bangkok
104901,10140,บางมด,ทุ่งครุ,กรุงเทพมหานคร,Bang Mot,Thung Khu,Bangkok
104902,10140,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,Thung Khru,Thung Khu,Bangkok
105002,10150,บางบอนเหนือ,บางบอน,กรุงเทพมหานคร,Bang Bon Nuea,Bang Bon,Bangkok
105003,10150,บางบอนใต้,บางบอน,กรุงเทพมหานคร,Bang Bon Tai,Bang Bon,Bangkok
105004,10150,คลองบางพราน,บางบอน,กรุงเทพมหานคร,Khlong Bang Phran,Bang Bon,Bangkok
105005,10150,คลองบางบอน,บางบอน,กรุงเทพมหานคร,Khlong Bang Bon,Bang Bon,Bangkok
110101,10270,ปากน้ำ,เมืองสมุทรปราการ,สมุทรปราการ,Pak Nam,Mueang Samut Prakan,Samut Prakan
110102,10270,สำโรงเหนือ,เมืองสมุทรปราการ,สมุทรปราการ,Samrong Nuea,Mueang Samut Prakan,Samut Prakan
110103,10270,บางเมือง,เมืองสมุทรปราการ,สมุทรปราการ,Bang Mueang,Mueang Samut Prakan,Samut Prakan
110104,10280,ท้ายบ้าน,เมืองสมุทรปราการ,สมุทรปราการ,Thai Ban,Mueang Samut Prakan,Samut Prakan
110108,10280,บางปูใหม่,เมืองสมุทรปราการ,สมุทรปราการ,Bang Pu Mai,Mueang Samut Prakan,Samut Prakan
110110,10280,แพรกษา,เมืองสมุทรปราการ,สมุทรปราการ,Phraek Sa,Mueang Samut Prakan,Samut Prakan
110111,10270,บางโปรง,เมืองสมุทรปราการ,สมุทรปราการ,Bang Prong,Mueang Samut Prakan,Samut Prakan
110112,10270,บางปู,เมืองสมุทรปราการ,สมุทรปราการ,Bang Pu,Mueang Samut Prakan,Samut Prakan
110113,10270,บางด้วน,เมืองสมุทรปราการ,สมุทรปราการ,Bang Duan,Mueang Samut Prakan,Samut Prakan
110114,10270,บางเมืองใหม่,เมืองสมุทรปราการ,สมุทรปราการ,Bang Mueang Mai,Mueang Samut Prakan,Samut Prakan
110115,10270,เทพารักษ์,เมืองสมุทรปราการ,สมุทรปราการ,Thepharak,Mueang Samut Prakan,Samut Prakan
110116,10280,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,Thai Ban Mai,Mueang Samut Prakan,Samut Prakan
110117,10280,แพรกษาใหม่,เมืองสมุทรปราการ,สมุทรปราการ,Phraek Sa Mai,Mueang Samut Prakan,Samut Prakan
110201,10560,บางบ่อ,บางบ่อ,สมุทรปราการ,Bang Bo,Bang Bo,Samut Prakan
110202,10560,บ้านระกาศ,บางบ่อ,สมุทรปราการ,Ban Rakat,Bang Bo,Samut Prakan
110203,10560,บางพลีน้อย,บางบ่อ,สมุทรปราการ,Bang Phli Noi,Bang Bo,Samut Prakan
110204,10560,บางเพรียง,บางบ่อ,สมุทรปราการ,Bang Phriang,Bang Bo,Samut Prakan
110205,10550,คลองด่าน,บางบ่อ,สมุทรปราการ,Khlong Dan,Bang Bo,Samut Prakan
110206,10560,คลองสวน,บางบ่อ,สมุทรปราการ,Khlong Suan,Bang Bo,Samut Prakan
110207,10560,เปร็ง,บางบ่อ,สมุทรปราการ,Preng,Bang Bo,Samut Prakan
110208,10560,คลองนิยมยาตรา,บางบ่อ,สมุทรปราการ,Khlong Niyom Yattra,Bang Bo,Samut Prakan
110301,10540,บางพลีใหญ่,บางพลี,สมุทรปราการ,Bang Phli Yai,Bang Phli,Samut Prakan
110302,10540,บางแก้ว,บางพลี,สมุทรปราการ,Bang Kaeo,Bang Phli,Samut Prakan
110303,10540,บางปลา,บางพลี,สมุทรปราการ,Bang Pla,Bang Phli,Samut Prakan
110304,10540,บางโฉลง,บางพลี,สมุทรปราการ,Bang Chalong,Bang Phli,Samut Prakan
110308,10540,ราชาเทวะ,บางพลี,สมุทรปราการ,Racha Thewa,Bang Phli,Samut Prakan
110309,10540,หนองปรือ,บางพลี,สมุทรปราการ,Nong Prue,Bang Phli,Samut Prakan
110401,10130,ตลาด,พระประแดง,สมุทรปราการ,Talat,Phra Pradaeng,Samut Prakan
110402,10130,บางพึ่ง,พระประแดง,สมุทรปราการ,Bang Phueng,Phra Pradaeng,Samut Prakan
110403,10130,บางจาก,พระประแดง,สมุทรปราการ,Bang Chak,Phra Pradaeng,Samut Prakan
110404,10130,บางครุ,พระประแดง,สมุทรปราการ,Bang Khru,Phra Pradaeng,Samut Prakan
110405,10130,บางหญ้าแพรก,พระประแดง,สมุทรปราการ,Bang Ya Phraek,Phra Pradaeng,Samut Prakan
110406,10130,บางหัวเสือ,พระประแดง,สมุทรปราการ,Bang Hua Suea,Phra Pradaeng,Samut Prakan
110407,10130,สำโรงใต้,พระประแดง,สมุทรปราการ,Samrong Tai,Phra Pradaeng,Samut Prakan
110408,10130,บางยอ,พระประแดง,สมุทรปราการ,Bang Yo,Phra Pradaeng,Samut Prakan
110409,10130,บางกะเจ้า,พระประแดง,สมุทรปราการ,Bang Kachao,Phra Pradaeng,Samut Prakan
110410,10130,บางน้ำผึ้ง,พระประแดง,สมุทรปราการ,Bang Nam Phueng,Phra Pradaeng,Samut Prakan
110411,10130,บางกระสอบ,พระประแดง,สมุทรปราการ,Bang Krasop,Phra Pradaeng,Samut Prakan
110412,10130,บางกอบัว,พระประแดง,สมุทรปราการ,Bang Ko Bua,Phra Pradaeng,Samut Prakan
110413,10130,ทรงคนอง,พระประแดง,สมุทรปราการ,Song Khanong,Phra Pradaeng,Samut Prakan
110414,10130,สำโรง,พระประแดง,สมุทรปราการ,Samrong,Phra Pradaeng,Samut Prakan
110415,10130,สำโรงกลาง,พระประแดง,สมุทรปราการ,Samrong Klang,Phra Pradaeng,Samut Prakan
110501,10290,นาเกลือ,พระสมุทรเจดีย์,สมุทรปราการ,Na Kluea,Phra Samut Chedi,Samut Prakan
110502,10290,บ้านคลองสวน,พระสมุทรเจดีย์,สมุทรปราการ,Ban Khlong Suan,Phra Samut Chedi,Samut Prakan
110503,10290,แหลมฟ้าผ่า,พระสมุทรเจดีย์,สมุทรปราการ,Laem Fa Pha,Phra Samut Chedi,Samut Prakan
110504,10290,ปากคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,Pak Khlong Bang Pla Kot,Phra Samut Chedi,Samut Prakan
110505,10290,ในคลองบางปลากด,พระสมุทรเจดีย์,สมุทรปราการ,Nai Khlong Bang Pla Kot,Phra Samut Chedi,Samut Prakan
110601,10570,บางเสาธง,บางเสาธง,สมุทรปราการ,Bang Sao Thong,Bang Sao Thong,Samut Prakan
110602,10570,ศีรษะจรเข้น้อย,บางเสาธง,สมุทรปราการ,Sisa Chorakhe Noi,Bang Sao Thong,Samut Prakan
110603,10570,ศีรษะจรเข้ใหญ่,บางเสาธง,สมุทรปราการ,Sisa Chorakhe Yai,Bang Sao Thong,Samut Prakan
120101,11000,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,Suan Yai,Mueang Nonthaburi,Nonthaburi
120102,11000,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,Talat Khwan,Mueang Nonthaburi,Nonthaburi
120103,11000,บางเขน,เมืองนนทบุรี,นนทบุรี,Bang Khen,Mueang Nonthaburi,Nonthaburi
